p0 (For observed curve),n_qc_max (For observed curve),p0(For analytic curve),n_qc_max (For analytic curve)
,,2.107641528306e-10,3.113315803105e-01
,,2.108241648330e-10,3.121093690210e-01
,,2.108841768354e-10,3.128843172454e-01
,,2.109441888378e-10,3.136564472065e-01
,,2.110042008402e-10,3.144257808308e-01
,,2.110642128426e-10,3.151923397540e-01
,,2.111242248450e-10,3.159561453267e-01
,,2.111842368474e-10,3.167172186198e-01
,,2.112442488498e-10,3.174755804291e-01
,,2.113042608522e-10,3.182312512811e-01
,,2.113642728546e-10,3.189842514374e-01
,,2.114242848570e-10,3.197346008999e-01
,,2.114842968594e-10,3.204823194153e-01
,,2.115443088618e-10,3.212274264796e-01
,,2.116043208642e-10,3.219699413430e-01
,,2.116643328666e-10,3.227098830140e-01
,,2.117243448690e-10,3.234472702637e-01
,,2.117843568714e-10,3.241821216300e-01
,,2.118443688738e-10,3.249144554219e-01
,,2.119043808762e-10,3.256442897231e-01
,,2.119643928786e-10,3.263716423965e-01
,,2.120244048810e-10,3.270965310876e-01
,,2.120844168834e-10,3.278189732281e-01
,,2.121444288858e-10,3.285389860402e-01
,,2.122044408882e-10,3.292565865394e-01
,,2.122644528906e-10,3.299717915388e-01
,,2.123244648930e-10,3.306846176519e-01
,,2.123844768954e-10,3.313950812960e-01
,,2.124444888978e-10,3.321031986961e-01
,,2.125045009002e-10,3.328089858872e-01
,,2.125645129026e-10,3.335124587181e-01
,,2.126245249050e-10,3.342136328544e-01
,,2.126845369074e-10,3.349125237811e-01
,,2.127445489098e-10,3.356091468060e-01
,,2.128045609122e-10,3.363035170624e-01
,,2.128645729146e-10,3.369956495119e-01
,,2.129245849170e-10,3.376855589471e-01
,,2.129845969194e-10,3.383732599945e-01
,,2.130446089218e-10,3.390587671169e-01
,,2.131046209242e-10,3.397420946165e-01
,,2.131646329266e-10,3.404232566365e-01
,,2.132246449290e-10,3.411022671648e-01
,,2.132846569314e-10,3.417791400352e-01
,,2.133446689338e-10,3.424538889309e-01
,,2.134046809362e-10,3.431265273860e-01
,,2.134646929386e-10,3.437970687884e-01
,,2.135247049410e-10,3.444655263816e-01
